rho, V, psi_0, psi_1, psi_2, psi_3, psi_4, psi_5, psi_6, psi_7, psi_8, psi_9, psi_10, psi_11, psi_12, psi_13, psi_14, psi_15, psi_16, psi_17, psi_18, psi_19, psi_20, psi_21, psi_22, psi_23, psi_24, psi_25, psi_26, psi_27, psi_28, psi_29, psi_30, psi_31, psi_32, psi_33, psi_34, psi_35, psi_36, psi_37, psi_38, psi_39, psi_40, psi_41, psi_42, psi_43, psi_44, psi_45, psi_46, psi_47, psi_48, psi_49, psi_50, psi_51, psi_52, psi_53, psi_54, psi_55, psi_56, psi_57, psi_58, psi_59, psi_60, psi_61, psi_62, psi_63, psi_64, psi_65, psi_66, psi_67, psi_68, psi_69, psi_70, psi_71, psi_72, psi_73, psi_74, psi_75, psi_76, psi_77, psi_78, psi_79, psi_80, psi_81, psi_82, psi_83, psi_84, psi_85, psi_86, psi_87, psi_88, psi_89, psi_90, psi_91, psi_92, psi_93, psi_94, psi_95, psi_96, psi_97, psi_98, psi_99, E
0, inf, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.99604,
0.1, 200.01, 0.0151751, 0.023584, 0.0306792, 0.0369587, 0.0426358, 0.0478309, -0.0526218, -0.0570629, -0.0611948, -0.0650493, -0.068651, -0.072021, 0.0751766, 0.0781323, -0.080901, -0.0834937, -0.0859203, -0.08819, -0.0903104, 0.0922939, -0.0941678, 0.0960177, 0.0980501, -0.100568, 0.103728, -0.107365, -0.111154, -0.114857, -0.118363, -0.121631, 0.124649, 0.127412, -0.129918, 0.13216, -0.134135, 0.135835, 0.137255, -0.13839, 0.139235, -0.139786, -0.140041, -0.139997, -0.139654, -0.139012, 0.138073, 0.13684, -0.135317, -0.133508, 0.131421, -0.129063, 0.126443, -0.123571, -0.120457, 0.117115, -0.113556, -0.109794, 0.105845, -0.101724, 0.0974472, -0.0930312, -0.088494, 0.0838538, 0.0791293, 0.0743399, 0.0695052, 0.0646451, -0.0597804, -0.0549316, -0.0501199, 0.0453669, -0.0406941, 0.036124, 0.0316788, 0.0273818, -0.0232565, 0.0193274, 0.0156199, 0.0121607, 0.00897831, -0.00610392, 0.0035728, -0.00142282, -0.000315637, -0.00101043, -0.000426614, -8.44636e-05, 1.15661e-05, -1.17739e-06, -3.00537e-08, 1.38293e-08, -4.2468e-09, 3.2589e-09, -3.70126e-08, -1.04502e-08, 8.70641e-09, 6.25744e-09, -0.504837, 3.00542e-09, 1.15589e-08, 1.9385e-09, 8.98385,
0.2, 50.04, 0.0333441, 0.0508194, 0.0648073, 0.0765069, 0.0864554, 0.094969, -0.102261, -0.108486, -0.113765, -0.118196, -0.121856, -0.124816, 0.127133, 0.12886, -0.130042, -0.13072, -0.130931, -0.130711, -0.130089, 0.129102, -0.127802, 0.126312, 0.124881, -0.12382, 0.123192, -0.122652, -0.121726, -0.120111, -0.117691, -0.114448, 0.110403, 0.105587, -0.100036, 0.0937871, -0.0868817, 0.0793632, 0.0712783, -0.0626779, 0.0536157, -0.044149, -0.0343383, -0.0242463, -0.0139381, -0.00348046, -0.00705882, -0.0176113, 0.0281085, 0.0384826, -0.0486667, 0.0585958, -0.068207, 0.0774401, 0.0862385, -0.0945485, 0.102322, 0.109513, -0.116083, 0.121997, -0.127226, 0.131747, 0.135542, -0.138598, -0.140911, -0.142479, -0.143308, -0.14341, 0.142802, 0.141505, 0.139546, -0.136958, 0.133776, -0.130041, -0.125797, -0.12109, 0.11597, -0.110491, -0.104706, -0.0986763, -0.0924712, 0.0861899, -0.0800544, 0.0748695, -0.0707827, -0.0440535, -0.00922786, -0.00106316, 9.47469e-05, -6.67399e-06, -3.79203e-07, -1.10669e-08, -4.33685e-08, 7.61832e-09, 8.84719e-09, 1.24194e-08, -1.59037e-08, -1.86546e-09, 0.264935, 1.65288e-08, -1.74426e-08, 2.05178e-09, 12.9616,
0.3, 22.3122, 0.0572869, 0.0848282, 0.104995, 0.120173, 0.131507, 0.139712, -0.145295, -0.148642, -0.150064, -0.14982, -0.148125, -0.145171, 0.141121, 0.136123, -0.130308, -0.123792, -0.116683, -0.109076, -0.101059, 0.0927164, -0.0841351, 0.0754237, 0.0667089, -0.0580391, 0.049231, -0.0399285, -0.0298647, -0.0189864, -0.00738864, 0.00477108, -0.0173165, -0.0300671, 0.0428428, -0.0554648, 0.0677576, -0.0795498, -0.0906758, 0.100979, -0.11031, 0.118535, 0.125531, 0.131192, 0.135428, 0.138167, -0.139358, -0.13897, 0.136989, 0.133427, -0.128313, 0.121698, -0.113651, 0.104261, 0.0936335, -0.08189, 0.0691658, 0.0556081, -0.0413739, 0.026628, -0.0115405, -0.00371577, -0.0189671, 0.0340421, 0.0487732, 0.0629995, 0.0765687, 0.0893387, -0.10118, -0.111976, -0.121627, 0.130047, -0.137169, 0.142942, 0.147333, 0.150326, -0.151922, 0.152139, 0.151012, 0.148593, 0.144965, -0.140267, 0.134862, -0.130155, 0.126408, 0.0802689, 0.0172225, 0.00204879, -0.000189603, 1.39594e-05, 7.87274e-07, -1.64688e-08, 4.7578e-08, 4.12822e-09, 2.21478e-10, -3.02574e-09, 1.24093e-08, 1.01595e-08, -0.131538, -2.83827e-08, 3.96458e-09, -5.81422e-09, 16.9293,
0.4, 12.66, 0.0856202, 0.121955, 0.144866, 0.158709, 0.16574, 0.167446, -0.16492, -0.159013, -0.150416, -0.139702, -0.127354, -0.113783, 0.0993413, 0.0843334, -0.0690216, -0.0536323, -0.0383612, -0.0233761, -0.0088211, -0.00518304, 0.0185426, -0.0312206, -0.0433087, 0.0550766, -0.0668165, 0.078555, 0.0900107, 0.100787, 0.11051, 0.11886, -0.125566, -0.130405, 0.133193, -0.133791, 0.132108, -0.128102, -0.121781, 0.113204, -0.102479, 0.0897656, 0.0752666, 0.0592284, 0.041934, 0.0236983, -0.00486083, 0.0142207, -0.0331783, -0.0516416, 0.0692457, -0.0856393, 0.100492, -0.113501, -0.1244, 0.132961, -0.139004, -0.142395, 0.143055, -0.140958, 0.136133, -0.12866, -0.118674, 0.106355, 0.0919325, 0.075671, 0.0578715, 0.0388616, -0.0189899, 0.0013823, 0.021887, -0.0421585, 0.0618394, -0.0805876, -0.0980835, -0.114034, 0.128179, -0.140293, -0.150193, -0.15774, -0.162854, 0.165555, -0.166173, 0.16643, -0.166604, -0.108109, -0.0237818, -0.00291994, 0.000279833, -2.1361e-05, -1.25902e-06, 4.95805e-08, -5.69726e-08, -1.06637e-08, 2.40949e-09, -2.23965e-09, -9.53554e-09, -2.3735e-09, 0.0637153, 3.00291e-08, -1.40908e-08, -1.12422e-08, 20.8868,
0.5, 8.25, 0.11674, 0.158188, 0.177912, 0.18347, 0.179029, 0.167411, -0.150701, -0.130507, -0.108102, -0.0845013, -0.0605225, -0.036822, 0.0139232, -0.00776119, 0.0279117, 0.046288, 0.0627172, 0.0770844, 0.0893231, -0.0994151, 0.107397, -0.113409, -0.117757, 0.120844, -0.122797, 0.123219, 0.121484, 0.117123, 0.109927, 0.0998781, -0.0870998, -0.071821, 0.0543635, -0.0351303, 0.0145946, 0.00671277, 0.0282194, -0.049328, 0.0694347, -0.0879486, -0.10431, -0.118011, -0.128608, -0.135745, 0.139157, 0.13869, -0.134298, -0.126057, 0.114153, -0.0988902, 0.0806721, -0.059998, -0.0374462, 0.0136572, 0.0106848, 0.0348718, -0.0581945, 0.0799617, -0.0995233, 0.116288, 0.129743, -0.139467, -0.145147, -0.146582, -0.143695, -0.13653, 0.125255, 0.110151, 0.0916116, -0.0701226, 0.0462541, -0.0206409, 0.00603494, 0.0330627, -0.0597226, 0.0853053, 0.10913, 0.130564, 0.14905, -0.164165, 0.175862, -0.185738, 0.193808, 0.129437, 0.0294078, 0.00375675, -0.000375561, 2.99224e-05, 1.86189e-06, -8.60828e-08, 7.6184e-08, -8.70622e-09, 1.15118e-09, -6.57116e-09, 3.38706e-09, -1.17443e-08, -0.0304664, -2.80794e-08, 1.28331e-08, 9.3377e-09, 24.8342,
0.6, 5.91556, 0.148932, 0.189566, 0.198422, 0.188025, 0.165515, 0.135704, -0.102038, -0.0670487, -0.0326013, -5.82099e-05, 0.029611, 0.0557465, -0.077936, -0.0959654, 0.109778, 0.119443, 0.125126, 0.127071, 0.125575, -0.120984, 0.113683, -0.104112, -0.0927437, 0.0799045, -0.0655182, 0.0492166, 0.0308084, 0.0105228, -0.0110791, -0.0332541, 0.0551709, 0.0759663, -0.0947861, 0.110823, -0.123351, 0.131762, 0.135595, -0.134559, 0.128553, -0.11768, -0.102241, -0.0827366, -0.0598463, -0.0344063, 0.00737787, -0.0201907, 0.0472061, 0.0725754, -0.0952528, 0.114284, -0.128849, 0.1383, 0.142188, -0.140289, 0.132616, 0.119423, -0.101192, 0.0786263, -0.0526135, 0.024198, -0.00546326, 0.0351472, 0.063614, 0.089658, 0.112158, 0.130121, -0.14273, -0.14937, -0.14966, 0.143469, -0.130921, 0.112395, 0.0885062, 0.0600912, -0.0281724, -0.00607623, -0.0413719, -0.07637, -0.109719, 0.140153, -0.166772, 0.190445, -0.210426, -0.14599, -0.0345661, -0.00463711, 0.000487454, -4.08049e-05, -2.68591e-06, 1.30848e-07, -8.60918e-08, 3.07064e-08, -1.95554e-08, 2.95408e-08, -5.25463e-09, 1.85682e-08, 0.0144606, 1.92704e-08, -3.99837e-09, -2.34379e-09, 28.7714,
0.7, 4.57163, 0.180493, 0.212581, 0.202284, 0.169343, 0.124997, 0.0764994, -0.0286825, 0.0152685, 0.0533457, 0.0844058, 0.107946, 0.123936, -0.132693, -0.134776, 0.13091, 0.121926, 0.108705, 0.0921454, 0.0731285, -0.0524984, 0.0310386, -0.00943094, 0.0118509, -0.0326663, 0.0530704, -0.072846, -0.0912582, -0.107264, -0.119799, -0.127933, 0.130948, 0.128381, -0.120054, 0.106096, -0.0869506, 0.0633586, 0.036334, -0.00711649, -0.0228879, 0.0521796, 0.0792451, 0.102641, 0.121077, 0.133493, -0.139123, -0.137549, 0.128733, 0.113029, -0.0911724, 0.0642504, -0.0336477, 0.000977325, -0.0320053, 0.0634963, -0.0917443, -0.115148, 0.132348, -0.142309, 0.144383, -0.13835, -0.124442, 0.103334, 0.0761197, 0.0442522, 0.00947554, -0.0262692, 0.0609455, 0.0925326, 0.119134, -0.139083, 0.15104, -0.154066, -0.147683, -0.131911, 0.107276, -0.0747978, -0.0359499, 0.00739928, 0.053072, -0.0987117, 0.142116, -0.18274, 0.218378, 0.159119, 0.0396393, 0.00563354, -0.000626869, 5.53998e-05, 3.87346e-06, -1.89862e-07, 8.22134e-08, -6.04091e-08, 1.01979e-08, -1.06192e-08, -4.16005e-09, -2.66489e-08, -0.0068334, -1.53613e-08, 1.79685e-08, -1.96989e-09, 32.6983,
0.8, 3.765, 0.209832, 0.224501, 0.187544, 0.128369, 0.0630765, 0.00117728, 0.0518457, 0.093168, 0.121769, 0.137845, 0.142399, 0.136928, -0.12321, -0.103129, 0.0785611, 0.0512845, 0.0229221, -0.00509751, -0.0315617, 0.0554876, -0.076136, 0.0930608, 0.106181, -0.11569, 0.121569, -0.123187, -0.119605, -0.110156, -0.0947049, -0.0736462, 0.0478478, 0.0185825, 0.0125532, -0.0437389, 0.0730481, -0.0985791, -0.11859, 0.131631, -0.136656, 0.133119, 0.121029, 0.100976, 0.0741058, 0.042066, -0.0069024, 0.0290697, -0.0634211, -0.0937766, 0.117985, -0.134277, 0.141401, -0.138725, -0.126296, 0.104856, -0.0757991, -0.0410915, 0.0031406, 0.0353677, -0.071657, 0.103058, 0.127205, -0.142212, -0.146825, -0.140522, -0.123573, -0.0970433, 0.0627309, 0.0230631, -0.0190608, 0.0604641, -0.09791, 0.128329, 0.149042, 0.157964, -0.15377, 0.136025, 0.105251, 0.0629434, 0.0115234, 0.0457909, -0.105342, 0.164601, -0.219096, -0.1698, -0.0449347, -0.00681642, 0.000806729, -7.54933e-05, -5.57961e-06, 2.88918e-07, -5.76266e-08, 4.73177e-08, -8.44286e-09, 6.88491e-09, 5.06562e-09, 2.50281e-08, 0.0032207, 2.22821e-08, -2.48114e-08, 5.92501e-09, 36.6149,
0.9, 3.27914, 0.235568, 0.223614, 0.154644, 0.0698725, -0.0099498, -0.0743986, 0.119157, 0.143658, 0.149599, 0.139949, 0.118271, 0.08827, -0.053479, -0.0170686, -0.018267, -0.0503637, -0.0775981, -0.0988682, -0.113551, 0.121454, -0.122768, 0.118029, 0.108027, -0.093507, 0.0747362, -0.0516445, -0.0245384, 0.00548009, 0.0366333, 0.0667528, -0.0935385, -0.114786, 0.128591, -0.133539, 0.128855, -0.114509, -0.091259, 0.0606315, -0.0248264, -0.0134384, -0.0511381, -0.0851885, -0.11271, -0.131284, 0.13918, 0.135531, -0.120437, -0.0949832, 0.0611818, -0.0218151, -0.0197849, 0.0600177, 0.0953271, -0.122518, 0.139055, 0.143301, -0.13469, 0.113807, -0.0823601, 0.043056, -0.000620092, 0.0447028, 0.0850961, 0.117946, 0.140002, 0.148938, -0.143593, -0.124126, -0.0920467, 0.0501332, -0.00222739, -0.0470678, -0.0927751, -0.129977, 0.154268, -0.162184, -0.151582, -0.121921, -0.0744491, 0.0122325, 0.0600964, -0.137861, 0.213622, 0.178692, 0.0507002, 0.008258, -0.00104259, 0.000103442, 8.0748e-06, -4.53454e-07, 3.12371e-08, -3.46806e-08, 7.85099e-09, 7.77886e-09, -8.14197e-09, -1.99844e-08, -0.00151576, -2.45297e-08, 6.72637e-09, -3.81504e-09, 40.5212,
