n_step, rho_max1_E0, rho_max1_E1, rho_max1_E2, rho_max6_E0, rho_max6_E1, rho_max6_E2, rho_max11_E0, rho_max11_E1, rho_max11_E2, rho_max16_E0, rho_max16_E1, rho_max16_E2, rho_max21_E0, rho_max21_E1, rho_max21_E2, 
10, 8.44137, 32.1377, 69.4244, 2.88233, 6.37749, 9.37085, 2.68041, 6.5624, 12.5752, 3.32141, 11.0292, 23.8247, 4.85963, 18.0951, 40.1442, 
20, 9.24548, 35.8957, 79.5864, 2.97158, 6.85633, 10.6451, 2.9019, 6.48705, 9.67203, 2.78294, 5.90373, 9.10199, 2.67839, 6.31283, 11.7793, 
30, 9.53569, 37.1889, 82.8995, 2.98744, 6.93692, 10.8453, 2.95732, 6.78294, 10.4599, 2.90798, 6.52047, 9.7651, 2.83681, 6.12108, 8.9246, 
40, 9.68513, 37.8399, 84.5192, 2.99295, 6.96466, 10.9135, 2.97616, 6.87971, 10.7035, 2.94905, 6.73992, 10.3499, 2.91093, 6.53664, 9.80979, 
50, 9.77619, 38.2314, 85.4757, 2.99549, 6.97743, 10.9448, 2.98479, 6.92352, 10.8122, 2.96762, 6.83603, 10.5942, 2.94372, 6.71197, 10.2777, 
60, 9.8375, 38.4927, 86.1061, 2.99687, 6.98434, 10.9617, 2.98946, 6.94707, 10.8703, 2.9776, 6.88701, 10.7217, 2.96117, 6.80283, 10.5104, 
70, 9.88157, 38.6794, 86.5525, 2.9977, 6.9885, 10.9719, 2.99226, 6.9612, 10.905, 2.98358, 6.91737, 10.797, 2.97158, 6.85633, 10.6451, 
80, 9.91479, 38.8194, 86.8852, 2.99824, 6.9912, 10.9785, 2.99408, 6.97033, 10.9274, 2.98744, 6.93692, 10.8453, 2.9783, 6.89057, 10.7305, 
90, 9.94072, 38.9284, 87.1425, 2.99861, 6.99305, 10.983, 2.99532, 6.97658, 10.9427, 2.99009, 6.95026, 10.8781, 2.98288, 6.91384, 10.7883, 
100, 9.96153, 39.0155, 87.3475, 2.99887, 6.99437, 10.9863, 2.99621, 6.98104, 10.9537, 2.99198, 6.95976, 10.9015, 2.98615, 6.93038, 10.8292, 
